AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
-2,200004578;30,59999847;12,38999965;134,8270097;-0,900001526;1,5317;63,13725662;34;100;1242;14,40999985;16;-0,3853;22,53281784;0;0;0
-3,900001526;32,39999771;12,92999961;138,7150086;1,799999237;1,496;63,13725662;34;102;1414,5;15,68999958;16;-0,3887;22,15661812;0;0;0
-4,199996948;35,09999847;13,51499959;143,8639995;2,700000763;1,4525;55,29411697;34;102;1414,5;15,68999958;16;-0,4727;22,15661812;0;0;0
-4,299995422;35,09999847;14,09999956;148,3169396;0;1,3903;55,29411697;34;102;1523,5;15,72000027;16;-0,4733;21,72527695;0;0;0
-2,099998474;37,79999924;14,72999955;154,0638209;2,700000763;1,3547;0;34;102;1497,5;15,72000027;16;-0,5863;21,72527695;0;0;0
-2,799995422;36,89999771;15,34499951;158,3323367;-0,900001526;1,3581;0;34;102;1497,5;18,44000053;16;-0,5905;21,52325249;0;0;0
-2,900001526;36;15,94499951;161,2062356;-0,899997711;1,2529;16,86274529;34;103;1479;14,68999958;16;-0,5198;21,17808533;0;0;0
-3,099998474;35,09999847;16,52999949;162,7678878;-0,900001526;1,2186;16,86274529;34;103;1479;14,68999958;16;-0,4144;21,17808533;0;0;0
-1,599998474;36;17,12999949;164,195685;0,900001526;1,1399;43,13725662;34;101;1489;14,72000027;16;-0,4752;20,81062508;0;0;0
-1,799995422;36,89999771;17,74499945;165,4621672;0,899997711;0,9905;41,96078491;35;101;1540,5;14,72000027;16;-0,3485;20,81062508;0;0;0
-0,399993896;36,89999771;18,35999941;165,9593783;0;0,9774;41,96078491;35;101;1540,5;15,72000027;16;-0,3672;20,48775482;0;0;0
0;38,70000076;19,00499942;166,8350491;1,800003052;0,8745;48,23529434;35;102;1628;16,71999931;16;-0,4905;20,20194435;0;0;0
-0,200004578;38,70000076;19,64999944;166,8645673;0;1,0014;15,68627453;35;102;1628;16,71999931;16;-0,5749;20,20194435;0;0;0
-0,5;39,59999847;20,30999941;166,6229399;0,899997711;1,1644;15,68627453;35;102;1627;20,86000061;16;-0,7365;20,10399437;0;0;0
-0,400001526;38,70000076;20,95499942;164,9404751;-0,899997711;1,2231;40,39215851;35;102;1627;20,86000061;16;-0,7791;20,10399437;0;0;0
-0,400001526;37,79999924;21,58499941;161,9036618;-0,900001526;1,2792;66,27451324;35;102;1565;18,44000053;16;-0,8706;19,96433449;0;0;0
-1,799995422;38,70000076;22,22999942;158,5485698;0,900001526;1,3261;66,27451324;35;108;1654,5;19,48999977;17;-0,9781;19,83669853;0;0;0
-3,099998474;36;22,79999942;154,3576213;-2,700000763;1,2986;67,05882263;35;111;1768;21,87999916;19;-0,9011;19,74422836;0;0;0
-4,099998474;43,19999695;23,50499937;152,7767472;7,199996948;1,4017;58,8235321;36;114;1838,5;21,29999924;20;-0,8586;19,61326027;0;0;0
-5,200004578;45;24,23999937;151,3976888;1,800003052;1,5214;0;36;104;803;8,020000458;19;-1,0035;18,53573418;0;0;0
-6,300003052;45;24,98999937;148,1714186;0;1,5185;77,2549057;36;103;1354;17,21999931;17;-1,0847;18,32847595;0;0;0
-6,799995422;45,89999771;25,75499934;144,4021722;0,899997711;1,5021;76,07843018;36;107;1395,5;18,37999916;18;-1,1105;18,14863396;0;0;0
-6,200004578;48,59999847;26,56499931;141,337901;2,700000763;1,4781;81,5686264;36;113;1458;20,52000046;19;-0,9987;18,01894188;0;0;0
-6,200004578;50,39999771;27,40499927;138,2882732;1,799999237;1,4835;78,03921509;36;117;1517,5;21,90999985;21;-0,8353;17,91011429;0;0;0
-6,399993896;51,29999924;28,16999927;139,1634854;0,900001526;1,342;76,07843018;36;120;1596,5;22,19000053;21;-0,7289;17,79441643;0;0;0
-4,800003052;53,09999847;28,85999924;144,6156545;1,799999237;1,3997;75,29412079;36;121;1652,5;22,87999916;23;-0,5453;17,68197823;0;0;0
-3,900001526;54,89999771;29,54999921;151,6255858;1,799999237;1,269;72,54901886;37;123;1693,5;22,87999916;24;-0,6341;17,68197823;0;0;0
-2,600006104;56,69999695;30,26999915;159,2258554;1,799999237;1,1173;65,49019623;37;119;1750,5;22,65999985;24;-0,7573;17,55351448;0;0;0
-1,799995422;58,5;31,00499916;167,9150514;1,800003052;1,0825;61,96078491;37;112;1777;20,36000061;24;-0,7978;17,35929871;0;0;0
-1,199996948;59,39999771;31,72499914;177,3385075;0,899997711;1,131;52,94117737;37;108;1795;20,12999916;23;-0,8397;17,16195488;0;0;0
-1,300003052;60,29999924;32,32499914;189,8774907;0,900001526;1,0195;55,29411697;37;105;1808,5;18,94000053;21;-0,7726;16,94412804;0;0;0
-1,799995422;60,29999924;32,86499914;202,5134908;0;0,9818;27,05882454;37;105;1808,5;18,57999992;20;-0,7821;16,72980309;0;0;0
-3,599998474;61,19999695;33,43499908;215,2080652;0,899997711;0,9649;0;38;105;1804;23,36000061;19;-0,8252;16,6343441;0;0;0
-4,700004578;60,29999924;33,95999908;226,7963281;-0,899997711;0,9425;0;38;105;1766,5;22,87999916;19;-0,785;16,54192352;0;0;0
-6,099998474;58,5;34,40999908;236,6948035;-1,799999237;0,9402;0;38;104;1707;22,12999916;18;-0,7801;16,4543438;0;0;0
-6,300003052;57,59999847;34,81499907;245,6219641;-0,900001526;0,8162;0;38;104;1650,5;21,54999924;18;-0,8363;16,37427902;0;0;0
-7,599998474;55,79999924;35,2049991;252,8323369;-1,799999237;0,8134;0;38;103;1607,5;20,57999992;18;-0,9066;16,28753662;0;0;0
-7,400001526;54,89999771;35,62499908;258,7137597;-0,900001526;0,9496;0;38;103;1562;19,90999985;18;-0,971;16,20639801;0;0;0
-7,400001526;52,19999695;36,07499905;261,322233;-2,700000763;0,8207;0;38;103;1514,5;19,21999931;18;-1,0463;16,12316704;0;0;0
-6,199996948;51,29999924;36,58499905;260,979928;-0,899997711;0,7976;0;39;102;1471,5;18,37999916;17;-1,003;16,04192352;0;0;0
-6,400001526;49,5;37,12499905;257,0754547;-1,799999237;0,9572;0;39;102;1415;17,44000053;17;-1,0497;15,96043873;0;0;0
-4,5;47,69999695;37,679999;249,9046663;-1,800003052;1,1034;20;39;102;791;6,71999979;17;-1,1047;15,41517162;0;0;0
-3,099998474;50,39999771;38,27999897;243,0951747;2,700000763;1,3206;25,09803963;39;101;783;5,440000057;17;-1,2659;14,83494949;0;0;0
-2;41,39999771;38,72999894;233,388904;-9;1,5211;32,94117737;39;101;786;5,489999771;17;-1,5382;14,42818928;0;0;0
-2;36,89999771;39,07499892;224,7212175;-4,5;1,85;33,33333206;39;101;788;5,46999979;17;-1,7579;14,1557703;0;0;0
-1,699996948;29,69999886;39,2699989;218,644159;-7,199998856;1,825;31,76470566;40;101;782;5,46999979;17;-1,9615;14,03401279;0;0;0
-1,599998474;22,5;39,32999891;216,3743284;-7,199998856;2,1055;34,11764908;40;101;794,5;6,989999771;17;-1,9937;14,01447868;0;0;1
-1,299995422;18;39,3449989;215,7096253;-4,5;2,1397;0;40;101;1084,5;9,43999958;17;-1,9638;14,07376862;0;0;1
-1,800003052;18,89999962;39,40499891;212,99132;0,899999619;2,0717;83,92156982;40;102;1253,5;9,43999958;17;-1,7611;14,07376862;0;0;1
-1,199996948;18,89999962;39,5249989;207,0934221;0;2,0925;63,92156982;40;104;1478,5;16,07999992;17;-1,7343;14,17194462;0;0;1
